# run_id,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,cost
0.000000,1.560730,-1.094914,1.316715,-2.322529,-1.954264,1.867983,0.354082,-0.415492,1.346313,-1.930551,-1.433898,-0.943538,2.481745,-0.153218,-10.990000
0.000000,1.622881,-1.086401,1.370974,-1.615538,-2.823185,1.936337,0.327792,-0.382191,1.451474,-1.938512,-1.398845,-1.004882,2.567626,-0.239100,-10.880000
0.000000,1.560730,-1.094914,1.316715,-1.829799,-1.869311,1.688493,-0.112590,-0.415492,1.346313,-1.930551,-1.433898,-0.943538,2.481745,-0.153218,-11.130000
0.000000,1.651671,-1.082458,1.396109,-1.771272,-1.786137,1.005474,0.757257,-0.366765,1.500188,-1.942200,-1.382607,-1.033298,2.607409,-0.278882,-11.000000
0.000000,1.560730,-1.094914,1.316715,-1.829799,-1.869311,1.867983,0.354082,-0.892163,1.497259,-1.930551,-1.433898,-0.943538,2.481745,-0.153218,-11.380000
0.000000,1.724355,-1.072504,1.459564,-1.724493,-1.719660,1.953910,0.449573,-1.165003,0.666230,-1.951510,-1.341612,-1.105039,2.707846,-0.379320,-11.140000
0.000000,1.651314,-1.209609,1.377324,-1.827435,-1.883020,1.849546,0.361173,-0.901145,1.468895,-2.022827,-1.433898,-0.487883,2.542410,-0.213884,-11.140000
0.000000,1.343961,-0.452920,1.225096,-1.673716,-1.557301,2.102966,0.469472,-0.813053,1.796016,-1.476460,-1.286166,-0.820007,2.523095,-0.194569,-11.190000
0.000000,1.583678,-1.084542,1.366858,-1.730021,-1.788642,1.974769,0.433044,-0.779311,1.482531,-1.953927,-1.879606,-0.954676,2.497113,-0.168587,-11.280000
0.000000,1.523112,-0.935914,1.164893,-2.183998,-2.045385,1.486249,0.081731,-1.406507,1.737828,-1.698531,-1.825113,-1.048212,2.611433,-0.282907,-11.200000
0.000000,1.646150,-1.093334,1.376677,-1.816284,-1.823381,1.866439,0.371813,-0.932701,1.554062,-1.936598,-1.425186,-0.993384,2.018973,-0.275168,-11.220000
0.000000,1.673970,-1.049159,1.410178,-1.810665,-1.857570,1.820464,0.389204,-0.955247,1.483766,-1.868140,-1.448646,-0.952330,1.961497,-0.076775,-11.150000
0.000000,1.674181,-1.214854,1.357295,-1.815253,-1.670934,1.993034,0.345159,-0.919888,1.820898,-2.135438,-1.348824,-1.169869,2.125148,-0.462089,-11.340000
0.000000,1.786215,-1.169494,1.387887,-1.785934,-1.889829,1.907452,0.375987,-0.902611,1.587407,-1.777878,-1.412197,-1.016115,2.050795,-0.306991,-11.300000
0.000000,1.524667,-0.967727,1.383941,-1.679899,-2.202519,1.928071,0.420794,-0.886095,1.575885,-2.046973,-1.416029,-1.023868,2.014108,-0.462251,-11.280000
0.000000,1.535701,-1.144172,1.584344,-1.832938,-1.818405,1.863609,0.356223,-0.942531,1.574581,-1.881163,-1.419913,-1.002612,2.031892,-0.288088,-11.250000
0.000000,1.236402,-1.411211,1.379355,-1.787671,-1.768464,1.863767,0.411092,-0.931882,1.523083,-1.732301,-1.436134,-0.986549,1.968882,-0.388682,-11.310000
0.000000,1.520371,-1.146271,1.570961,-1.876841,-1.838295,2.054507,0.232825,-1.007715,1.523245,-1.879200,-1.428559,-0.987482,2.010709,-0.266905,-11.220000
0.000000,1.589127,-1.069244,1.680460,-1.807659,-1.667742,1.769501,0.444287,-1.015554,1.280968,-1.856621,-1.370932,-1.102493,2.125151,-0.569384,-11.190000
0.000000,1.572886,-1.253754,1.581451,-1.904256,-1.905014,1.767388,0.302165,-1.039847,1.548814,-1.942616,-1.503858,-1.060071,2.037948,-0.294144,-11.280000
0.000000,1.456853,-0.907967,1.530720,-1.961353,-1.761973,1.744486,0.275286,-1.011183,1.812046,-1.681978,-1.515504,-0.913290,2.070501,-0.447192,-11.230000
0.000000,1.536801,-1.140613,1.569695,-2.035543,-1.838580,1.898261,0.449366,-0.847702,1.544872,-1.897219,-1.419951,-1.002242,2.009757,-0.305868,-11.150000
